ID,가격
TEST_00000,96.26
TEST_00001,27.69
TEST_00002,85.6
TEST_00003,128.27
TEST_00004,49.36
TEST_00005,52.93
TEST_00006,68.64
TEST_00007,49.88
TEST_00008,49.69
TEST_00009,22.79
TEST_00010,21.13
TEST_00011,7.99
TEST_00012,50.73
TEST_00013,42.14
TEST_00014,26.67
TEST_00015,69.44
TEST_00016,12.59
TEST_00017,135.06
TEST_00018,20.33
TEST_00019,45.96
TEST_00020,55.34
TEST_00021,28.99
TEST_00022,115.69
TEST_00023,122.6
TEST_00024,105.91
TEST_00025,52.56
TEST_00026,26.06
TEST_00027,50.15
TEST_00028,33.86
TEST_00029,89.65
TEST_00030,118.05
TEST_00031,96.58
TEST_00032,30.08
TEST_00033,18.96
TEST_00034,24.76
TEST_00035,68.13
TEST_00036,29.97
TEST_00037,30.62
TEST_00038,29.3
TEST_00039,52.24
TEST_00040,63.09
TEST_00041,76.02
TEST_00042,10.75
TEST_00043,90.14
TEST_00044,51.95
TEST_00045,108.35
TEST_00046,52.02
TEST_00047,122.28
TEST_00048,111.09
TEST_00049,23.1
TEST_00050,18.05
TEST_00051,44.36
TEST_00052,24.14
TEST_00053,38.62
TEST_00054,37.26
TEST_00055,31.04
TEST_00056,87.91
TEST_00057,7.75
TEST_00058,114.72
TEST_00059,55.95
TEST_00060,33.81
TEST_00061,102.01
TEST_00062,20.55
TEST_00063,7.47
TEST_00064,54.49
TEST_00065,48.46
TEST_00066,34.28
TEST_00067,9.81
TEST_00068,63.75
TEST_00069,150.59
TEST_00070,118.26
TEST_00071,46.96
TEST_00072,79.09
TEST_00073,26.01
TEST_00074,32.22
TEST_00075,115.72
TEST_00076,15.71
TEST_00077,110.6
TEST_00078,30.82
TEST_00079,28.49
TEST_00080,15.13
TEST_00081,90.81
TEST_00082,103.99
TEST_00083,20.65
TEST_00084,27.84
TEST_00085,47.3
TEST_00086,41.37
TEST_00087,40.94
TEST_00088,27.87
TEST_00089,30.38
TEST_00090,24.1
TEST_00091,26.12
TEST_00092,37.03
TEST_00093,9.9
TEST_00094,34.87
TEST_00095,79.05
TEST_00096,8.42
TEST_00097,50.5
TEST_00098,24.53
TEST_00099,31.68
TEST_00100,19.29
TEST_00101,83.59
TEST_00102,44.44
TEST_00103,30.69
TEST_00104,23.05
TEST_00105,22.19
TEST_00106,25.58
TEST_00107,26.04
TEST_00108,86.57
TEST_00109,28.87
TEST_00110,29.45
TEST_00111,128.86
TEST_00112,58.56
TEST_00113,118.0
TEST_00114,12.18
TEST_00115,19.19
TEST_00116,43.97
TEST_00117,48.08
TEST_00118,11.37
TEST_00119,18.81
TEST_00120,7.96
TEST_00121,54.41
TEST_00122,22.08
TEST_00123,33.52
TEST_00124,34.58
TEST_00125,81.53
TEST_00126,34.84
TEST_00127,21.24
TEST_00128,100.26
TEST_00129,50.05
TEST_00130,27.78
TEST_00131,19.88
TEST_00132,62.77
TEST_00133,23.14
TEST_00134,119.11
TEST_00135,20.21
TEST_00136,16.93
TEST_00137,12.59
TEST_00138,23.03
TEST_00139,48.96
TEST_00140,110.86
TEST_00141,116.74
TEST_00142,31.74
TEST_00143,19.8
TEST_00144,36.94
TEST_00145,21.17
TEST_00146,103.91
TEST_00147,56.13
TEST_00148,38.63
TEST_00149,97.8
TEST_00150,104.89
TEST_00151,30.72
TEST_00152,75.87
TEST_00153,29.92
TEST_00154,65.18
TEST_00155,21.67
TEST_00156,3.57
TEST_00157,107.84
TEST_00158,104.16
