ID,가격
TEST_00000,96.0
TEST_00001,28.0
TEST_00002,86.0
TEST_00003,128.0
TEST_00004,49.0
TEST_00005,53.0
TEST_00006,69.0
TEST_00007,50.0
TEST_00008,50.0
TEST_00009,23.0
TEST_00010,21.0
TEST_00011,8.0
TEST_00012,51.0
TEST_00013,42.0
TEST_00014,27.0
TEST_00015,69.0
TEST_00016,13.0
TEST_00017,135.0
TEST_00018,20.0
TEST_00019,46.0
TEST_00020,55.0
TEST_00021,29.0
TEST_00022,116.0
TEST_00023,123.0
TEST_00024,106.0
TEST_00025,53.0
TEST_00026,26.0
TEST_00027,50.0
TEST_00028,34.0
TEST_00029,90.0
TEST_00030,118.0
TEST_00031,97.0
TEST_00032,30.0
TEST_00033,19.0
TEST_00034,25.0
TEST_00035,68.0
TEST_00036,30.0
TEST_00037,31.0
TEST_00038,29.0
TEST_00039,52.0
TEST_00040,63.0
TEST_00041,76.0
TEST_00042,11.0
TEST_00043,90.0
TEST_00044,52.0
TEST_00045,108.0
TEST_00046,52.0
TEST_00047,122.0
TEST_00048,111.0
TEST_00049,23.0
TEST_00050,18.0
TEST_00051,44.0
TEST_00052,24.0
TEST_00053,39.0
TEST_00054,37.0
TEST_00055,31.0
TEST_00056,88.0
TEST_00057,8.0
TEST_00058,115.0
TEST_00059,56.0
TEST_00060,34.0
TEST_00061,102.0
TEST_00062,21.0
TEST_00063,7.0
TEST_00064,54.0
TEST_00065,48.0
TEST_00066,34.0
TEST_00067,10.0
TEST_00068,64.0
TEST_00069,151.0
TEST_00070,118.0
TEST_00071,47.0
TEST_00072,79.0
TEST_00073,26.0
TEST_00074,32.0
TEST_00075,116.0
TEST_00076,16.0
TEST_00077,111.0
TEST_00078,31.0
TEST_00079,28.0
TEST_00080,15.0
TEST_00081,91.0
TEST_00082,104.0
TEST_00083,21.0
TEST_00084,28.0
TEST_00085,47.0
TEST_00086,41.0
TEST_00087,41.0
TEST_00088,28.0
TEST_00089,30.0
TEST_00090,24.0
TEST_00091,26.0
TEST_00092,37.0
TEST_00093,10.0
TEST_00094,35.0
TEST_00095,79.0
TEST_00096,8.0
TEST_00097,51.0
TEST_00098,25.0
TEST_00099,32.0
TEST_00100,19.0
TEST_00101,84.0
TEST_00102,44.0
TEST_00103,31.0
TEST_00104,23.0
TEST_00105,22.0
TEST_00106,26.0
TEST_00107,26.0
TEST_00108,87.0
TEST_00109,29.0
TEST_00110,29.0
TEST_00111,129.0
TEST_00112,59.0
TEST_00113,118.0
TEST_00114,12.0
TEST_00115,19.0
TEST_00116,44.0
TEST_00117,48.0
TEST_00118,11.0
TEST_00119,19.0
TEST_00120,8.0
TEST_00121,54.0
TEST_00122,22.0
TEST_00123,34.0
TEST_00124,35.0
TEST_00125,82.0
TEST_00126,35.0
TEST_00127,21.0
TEST_00128,100.0
TEST_00129,50.0
TEST_00130,28.0
TEST_00131,20.0
TEST_00132,63.0
TEST_00133,23.0
TEST_00134,119.0
TEST_00135,20.0
TEST_00136,17.0
