ID,가격
TEST_00000,94.1
TEST_00001,27.1
TEST_00002,86.8
TEST_00003,127.2
TEST_00004,49.1
TEST_00005,50.8
TEST_00006,72.2
TEST_00007,50.4
TEST_00008,51.9
TEST_00009,22.1
TEST_00010,21.7
TEST_00011,9.1
TEST_00012,51.7
TEST_00013,39.5
TEST_00014,28.7
TEST_00015,69.2
TEST_00016,10.2
TEST_00017,130.9
TEST_00018,20.8
TEST_00019,47.3
TEST_00020,60.7
TEST_00021,32.6
TEST_00022,108.6
TEST_00023,120.2
TEST_00024,104.2
TEST_00025,51.1
TEST_00026,26.0
TEST_00027,51.4
TEST_00028,32.4
TEST_00029,87.7
TEST_00030,114.5
TEST_00031,96.1
TEST_00032,30.1
TEST_00033,18.3
TEST_00034,24.3
TEST_00035,70.3
TEST_00036,27.4
TEST_00037,32.5
TEST_00038,28.6
TEST_00039,52.7
TEST_00040,63.8
TEST_00041,75.6
TEST_00042,9.8
TEST_00043,92.8
TEST_00044,51.7
TEST_00045,107.4
TEST_00046,55.1
TEST_00047,122.5
TEST_00048,117.7
TEST_00049,22.9
TEST_00050,15.2
TEST_00051,42.8
TEST_00052,22.6
TEST_00053,38.6
TEST_00054,36.3
TEST_00055,31.5
TEST_00056,94.5
TEST_00057,6.3
TEST_00058,113.3
TEST_00059,55.1
TEST_00060,34.6
TEST_00061,105.6
TEST_00062,20.2
TEST_00063,7.3
TEST_00064,57.8
TEST_00065,48.0
TEST_00066,34.6
TEST_00067,10.0
TEST_00068,66.5
TEST_00069,150.4
TEST_00070,119.0
TEST_00071,46.0
TEST_00072,77.1
TEST_00073,27.4
TEST_00074,23.4
TEST_00075,110.0
TEST_00076,16.0
TEST_00077,111.5
TEST_00078,30.3
TEST_00079,27.3
TEST_00080,14.4
TEST_00081,90.5
TEST_00082,104.0
TEST_00083,21.2
TEST_00084,27.8
TEST_00085,47.3
TEST_00086,40.0
TEST_00087,38.3
TEST_00088,27.3
TEST_00089,30.3
TEST_00090,23.8
TEST_00091,26.0
TEST_00092,36.4
TEST_00093,8.1
TEST_00094,34.8
TEST_00095,82.1
TEST_00096,9.1
TEST_00097,49.9
TEST_00098,27.3
TEST_00099,30.0
TEST_00100,18.7
TEST_00101,86.3
TEST_00102,44.5
TEST_00103,30.5
TEST_00104,21.2
TEST_00105,22.5
TEST_00106,26.0
TEST_00107,26.2
TEST_00108,91.7
TEST_00109,30.2
TEST_00110,29.3
TEST_00111,122.8
TEST_00112,59.7
TEST_00113,102.9
TEST_00114,10.7
TEST_00115,18.4
TEST_00116,45.6
TEST_00117,50.8
TEST_00118,8.8
TEST_00119,19.6
TEST_00120,9.1
TEST_00121,56.1
TEST_00122,21.7
TEST_00123,33.6
TEST_00124,29.5
TEST_00125,79.9
TEST_00126,35.8
TEST_00127,20.4
TEST_00128,100.2
TEST_00129,52.4
TEST_00130,28.1
TEST_00131,19.3
TEST_00132,61.5
TEST_00133,23.2
TEST_00134,118.8
TEST_00135,19.3
TEST_00136,17.0
TEST_00137,18.5
TEST_00138,23.2
TEST_00139,47.7
TEST_00140,105.0
TEST_00141,114.5
TEST_00142,31.2
TEST_00143,20.6
TEST_00144,36.3
TEST_00145,22.7
TEST_00146,103.4
TEST_00147,55.5
TEST_00148,39.1
TEST_00149,98.6
TEST_00150,112.8
TEST_00151,30.9
TEST_00152,77.5
TEST_00153,31.6
TEST_00154,65.9
TEST_00155,22.0
TEST_00156,2.1
TEST_00157,107.4
TEST_00158,99.6
TEST_00159,70.2
TEST_00160,60.0
TEST_00161,74.1
TEST_00162,38.2
TEST_00163,101.0
TEST_00164,124.0
TEST_00165,20.5
TEST_00166,106.3
TEST_00167,100.6
TEST_00168,78.8
TEST_00169,14.5
TEST_00170,22.9
TEST_00171,50.3
TEST_00172,25.9
TEST_00173,21.4
TEST_00174,58.3
TEST_00175,39.9
TEST_00176,28.1
TEST_00177,45.5
TEST_00178,67.5
TEST_00179,31.6
TEST_00180,10.2
TEST_00181,21.4
TEST_00182,59.4
TEST_00183,9.6
TEST_00184,23.3
TEST_00185,100.6
TEST_00186,50.5
TEST_00187,39.0
TEST_00188,97.9
TEST_00189,42.4
TEST_00190,66.7
TEST_00191,58.6
TEST_00192,41.9
TEST_00193,100.1
TEST_00194,114.9
TEST_00195,74.2
TEST_00196,32.2
TEST_00197,53.4
TEST_00198,108.3
TEST_00199,14.0
TEST_00200,49.5
TEST_00201,28.6
TEST_00202,37.9
TEST_00203,40.1
TEST_00204,30.9
TEST_00205,70.5
TEST_00206,53.4
TEST_00207,50.1
TEST_00208,23.0
TEST_00209,102.2
TEST_00210,50.1
TEST_00211,26.9
TEST_00212,30.9
TEST_00213,75.4
TEST_00214,76.6
TEST_00215,42.5
TEST_00216,102.3
TEST_00217,130.6
TEST_00218,19.2
TEST_00219,25.3
TEST_00220,31.9
TEST_00221,36.3
TEST_00222,42.1
TEST_00223,27.9
TEST_00224,55.3
TEST_00225,16.2
TEST_00226,45.5
TEST_00227,103.6
TEST_00228,53.6
TEST_00229,53.4
TEST_00230,36.1
TEST_00231,122.6
TEST_00232,122.8
TEST_00233,59.1
TEST_00234,109.4
TEST_00235,17.5
TEST_00236,21.6
TEST_00237,40.1
TEST_00238,60.2
TEST_00239,16.2
TEST_00240,8.4
TEST_00241,14.5
TEST_00242,55.6
TEST_00243,104.3
TEST_00244,28.2
TEST_00245,46.1
TEST_00246,109.9
TEST_00247,38.4
TEST_00248,15.4
TEST_00249,11.4
TEST_00250,70.1
TEST_00251,37.5
TEST_00252,29.8
TEST_00253,26.2
TEST_00254,56.7
TEST_00255,36.7
TEST_00256,93.6
TEST_00257,120.1
TEST_00258,67.2
TEST_00259,44.3
TEST_00260,41.3
TEST_00261,102.1
TEST_00262,48.1
TEST_00263,13.0
TEST_00264,96.6
TEST_00265,37.0
TEST_00266,20.4
TEST_00267,25.8
TEST_00268,62.3
TEST_00269,16.8
TEST_00270,40.4
TEST_00271,23.2
TEST_00272,32.4
TEST_00273,20.6
TEST_00274,126.4
TEST_00275,100.6
TEST_00276,24.7
TEST_00277,57.8
TEST_00278,73.3
TEST_00279,36.2
TEST_00280,51.5
TEST_00281,12.3
TEST_00282,4.7
TEST_00283,32.6
TEST_00284,29.0
TEST_00285,93.6
TEST_00286,123.9
TEST_00287,106.3
TEST_00288,117.9
TEST_00289,61.9
TEST_00290,71.6
TEST_00291,25.8
TEST_00292,20.3
TEST_00293,10.7
TEST_00294,54.1
TEST_00295,29.8
TEST_00296,37.8
TEST_00297,52.1
TEST_00298,12.5
TEST_00299,5.9
TEST_00300,27.7
TEST_00301,20.2
TEST_00302,34.1
TEST_00303,92.9
TEST_00304,41.2
TEST_00305,97.6
TEST_00306,38.4
TEST_00307,27.5
TEST_00308,25.7
TEST_00309,59.5
TEST_00310,28.5
TEST_00311,39.9
TEST_00312,26.6
TEST_00313,61.7
TEST_00314,51.0
TEST_00315,20.0
TEST_00316,51.7
TEST_00317,12.9
TEST_00318,46.7
TEST_00319,30.9
TEST_00320,9.7
TEST_00321,98.2
TEST_00322,25.7
TEST_00323,89.0
TEST_00324,41.1
TEST_00325,21.7
TEST_00326,62.6
TEST_00327,25.5
TEST_00328,24.5
TEST_00329,83.9
TEST_00330,63.8
TEST_00331,28.3
TEST_00332,125.2
TEST_00333,109.9
TEST_00334,33.7
TEST_00335,90.9
TEST_00336,93.4
TEST_00337,42.1
TEST_00338,27.8
TEST_00339,24.7
TEST_00340,72.1
TEST_00341,14.4
TEST_00342,142.8
TEST_00343,128.5
TEST_00344,30.6
TEST_00345,16.6
TEST_00346,24.8
TEST_00347,31.8
TEST_00348,18.9
TEST_00349,67.1
TEST_00350,115.2
TEST_00351,88.5
TEST_00352,78.7
TEST_00353,46.3
TEST_00354,28.9
TEST_00355,30.2
TEST_00356,18.4
TEST_00357,30.3
TEST_00358,17.3
TEST_00359,44.8
TEST_00360,9.5
TEST_00361,38.6
TEST_00362,19.2
TEST_00363,27.1
TEST_00364,46.6
TEST_00365,21.5
TEST_00366,87.2
TEST_00367,65.0
TEST_00368,13.6
TEST_00369,104.2
TEST_00370,16.5
TEST_00371,11.3
TEST_00372,8.8
TEST_00373,89.5
TEST_00374,72.8
TEST_00375,21.1
TEST_00376,60.5
TEST_00377,31.4
TEST_00378,40.6
TEST_00379,67.2
TEST_00380,31.4
TEST_00381,56.6
TEST_00382,26.0
TEST_00383,76.1
TEST_00384,44.8
TEST_00385,23.1
TEST_00386,119.6
TEST_00387,10.9
TEST_00388,119.7
TEST_00389,18.8
TEST_00390,18.3
TEST_00391,23.9
TEST_00392,27.5
TEST_00393,115.9
TEST_00394,95.6
TEST_00395,14.1
TEST_00396,35.9
TEST_00397,107.3
TEST_00398,23.8
TEST_00399,52.8
TEST_00400,103.7
TEST_00401,8.7
TEST_00402,42.8
